id_avaliacao,avaliacao_dificuldade_fg,avaliacao_dificuldade_ce,avaliacao_equipamentos,avaliacao_ambiente
1,Médio,Médio,Discordo totalmente,Discordo totalmente
2,Resposta anulada,Resposta anulada,Discordo totalmente,Discordo totalmente
3,Resposta anulada,Resposta anulada,Discordo parcialmente,Discordo parcialmente
4,Fácil,Médio,Concordo,Concordo
5,Difícil,Muito difícil,Discordo totalmente,Discordo totalmente
6,Resposta anulada,Resposta anulada,Concordo parcialmente,Discordo parcialmente
7,Fácil,Fácil,Discordo totalmente,Discordo totalmente
8,Resposta anulada,Resposta anulada,Concordo parcialmente,Concordo parcialmente
9,Resposta anulada,Resposta anulada,Discordo,Discordo
10,Resposta anulada,Resposta anulada,Discordo parcialmente,Discordo
11,Resposta anulada,Muito difícil,Discordo totalmente,Discordo totalmente
12,Resposta anulada,Resposta anulada,Concordo totalmente,Concordo totalmente
13,Resposta anulada,Resposta anulada,Não se aplica,Não se aplica
14,Resposta anulada,Resposta anulada,Concordo,Concordo
15,Resposta anulada,Resposta anulada,Não sei responder,Não se aplica
16,Muito difícil,Muito difícil,Discordo totalmente,Discordo totalmente
17,Muito fácil,Muito fácil,Discordo totalmente,Discordo totalmente
18,Muito fácil,Médio,Discordo totalmente,Discordo totalmente
19,Resposta anulada,Resposta anulada,Concordo parcialmente,Discordo
20,Resposta anulada,Resposta anulada,Discordo totalmente,Discordo parcialmente
21,Muito fácil,Muito difícil,Discordo totalmente,Discordo totalmente
22,Muito fácil,Resposta anulada,Discordo totalmente,Discordo totalmente
23,Difícil,Difícil,Discordo totalmente,Discordo totalmente
24,Resposta anulada,Resposta anulada,Concordo parcialmente,Concordo totalmente
25,Resposta anulada,Resposta anulada,Discordo totalmente,Concordo parcialmente
26,Difícil,Médio,Discordo totalmente,Discordo totalmente
27,Resposta anulada,Resposta anulada,Discordo,Discordo totalmente
28,Resposta anulada,Resposta anulada,Concordo parcialmente,Concordo
29,Muito difícil,Difícil,Discordo totalmente,Discordo totalmente
30,Médio,Difícil,Discordo totalmente,Discordo totalmente
31,Resposta anulada,Resposta anulada,Não se aplica,Discordo totalmente
32,Resposta anulada,Resposta anulada,Concordo totalmente,Discordo parcialmente
33,Fácil,Médio,Discordo totalmente,Discordo totalmente
34,Resposta anulada,Resposta anulada,Discordo totalmente,Discordo
35,Resposta anulada,Resposta anulada,Discordo,Discordo parcialmente
36,Resposta anulada,Resposta anulada,Concordo,Discordo totalmente
37,Resposta anulada,Resposta anulada,Concordo,Concordo totalmente
38,Resposta anulada,Resposta anulada,Concordo parcialmente,Não sei responder
39,Muito difícil,Médio,Concordo,Concordo
