id_curso,nome_curso
2,Direito
13,Ciências Econômicas
38,Serviço Social
22,Ciências Contábeis
1,Administração
81,Relações Internacionais
803,Jornalismo
18,Psicologia
67,Secretariado Executivo
29,Turismo
101,Teologia
26,Design
804,Publicidade E Propaganda
100,Administração Pública
88,Tecnologia Em Gastronomia
83,Tecnologia Em Design De Moda
86,Tecnologia Em Gestão De Recursos Humanos
84,Tecnologia Em Marketing
87,Tecnologia Em Gestão Financeira
103,Tecnologia Em Design De Interiores
85,Tecnologia Em Processos Gerenciais
105,Tecnologia Em Gestão Da Qualidade
104,Tecnologia Em Design Gráfico
94,Tecnologia Em Logística
93,Tecnologia Em Gestão Comercial
102,Tecnologia Em Comércio Exterior
106,Tecnologia Em Gestão Pública
5710,Engenharia Civil
17,Agronomia
6405,Engenharia Florestal
12,Medicina
5806,Engenharia Elétrica
23,Enfermagem
28,Nutrição
5,Medicina Veterinária
21,Arquitetura E Urbanismo
5902,Engenharia Mecânica
6,Odontologia
6008,Engenharia Química
19,Farmácia
36,Fisioterapia
4003,Engenharia Da Computação
6002,Engenharia De Alimentos
51,Zootecnia
27,Fonoaudiologia
5814,Engenharia De Controle E Automação
6208,Engenharia De Produção
6307,Engenharia Ambiental
3501,Educação Física (Bacharelado)
55,Biomedicina
69,Tecnologia Em Radiologia
92,Tecnologia Em Gestão Ambiental
91,Tecnologia Em Gestão Hospitalar
95,Tecnologia Em Estética E Cosmética
90,Tecnologia Em Agronegócios
6410,Tecnologia Em Segurança No Trabalho
2001,Pedagogia (Licenciatura)
3502,Educação Física (Licenciatura)
3002,Geografia (Licenciatura)
2402,História (Licenciatura)
702,Matemática (Licenciatura)
1402,Física (Licenciatura)
1602,Ciências Biológicas (Licenciatura)
4004,Ciência Da Computação (Bacharelado)
4301,Música (Licenciatura)
2501,Artes Visuais (Licenciatura)
1502,Química (Licenciatura)
904,Letras-Português (Licenciatura)
3001,Geografia (Bacharelado)
5401,Ciências Sociais (Bacharelado)
1501,Química (Bacharelado)
3202,Filosofia (Licenciatura)
1601,Ciências Biológicas (Bacharelado)
5402,Ciências Sociais (Licenciatura)
905,Letras-Português E Inglês (Licenciatura)
906,Letras-Português E Espanhol (Licenciatura)
4006,Sistemas De Informação
2401,História (Bacharelado)
6409,Tecnologia Em Gestão Da Tecnologia Da Informação
72,Tecnologia Em Análise E Desenvolvimento De Sistemas
3201,Filosofia (Bacharelado)
6407,Letras-Inglês (Licenciatura)
4005,Ciência Da Computação (Licenciatura)
79,Tecnologia Em Redes De Computadores
6411,Engenharia De Computação I
