id_desempenho,nota_geral,nota_formacao_geral,nota_componentes_especifico
1,0.0,0.0,0.0
2,0.1,0.4,0.0
3,0.2,0.6,0.0
4,0.3,1.2,0.0
5,0.4,1.6,0.0
6,0.4,1.4,0.0
7,0.4,0.0,0.5
8,0.6,2.4,0.0
9,0.7,2.8,0.0
10,0.8,0.0,1.0
11,0.9,0.0,1.2
12,0.9,3.6,0.0
13,0.9,3.4,0.0
14,1.0,3.8,0.0
15,1.1,4.4,0.0
16,1.1,0.0,1.5
17,1.3,5.2,0.0
18,1.5,0.0,2.0
19,1.5,6.0,0.0
20,1.9,0.0,2.5
21,1.9,7.5,0.0
22,2.0,7.8,0.0
23,2.0,8.0,0.0
24,2.1,8.2,0.0
25,2.2,8.6,0.0
26,2.2,8.8,0.0
27,2.4,9.5,0.0
28,2.4,8.2,0.5
29,2.5,9.8,0.0
30,2.5,10.0,0.0
31,2.6,10.4,0.0
32,2.6,0.0,3.5
33,2.7,0.0,3.6
34,2.7,10.6,0.0
35,2.7,10.7,0.0
36,2.8,0.0,3.7
37,2.8,3.8,2.5
38,2.8,11.2,0.0
39,2.9,11.4,0.0
40,2.9,5.6,2.0
41,2.9,0.0,3.8
42,3.0,7.6,1.5
43,3.0,11.8,0.0
44,3.0,12.1,0.0
45,3.1,12.4,0.0
46,3.1,12.2,0.0
47,3.2,0.0,4.3
48,3.2,12.8,0.0
49,3.3,13.0,0.0
50,3.3,8.8,1.5
51,3.4,0.0,4.5
52,3.4,9.2,1.5
53,3.4,13.5,0.0
54,3.4,7.4,2.0
55,3.4,13.6,0.0
56,3.5,1.6,4.1
57,3.5,6.4,2.5
58,3.5,13.8,0.0
59,3.5,14.0,0.0
60,3.5,10.4,1.2
61,3.6,3.8,3.5
62,3.6,0.0,4.8
63,3.6,14.5,0.0
64,3.6,7.5,2.3
65,3.6,14.3,0.0
66,3.7,14.8,0.0
67,3.7,2.6,4.0
68,3.7,7.4,2.5
69,3.8,15.3,0.0
70,3.8,15.0,0.0
71,3.8,12.7,0.8
72,3.8,2.2,4.3
73,3.8,2.4,4.3
74,3.8,0.0,5.0
75,3.8,15.1,0.0
76,3.8,7.5,2.5
77,3.8,13.8,0.5
78,3.9,15.4,0.0
79,3.9,12.4,1.0
80,3.9,11.0,1.5
81,4.0,15.8,0.0
82,4.0,16.1,0.0
83,4.0,0.0,5.3
84,4.1,0.0,5.4
85,4.1,16.2,0.0
86,4.2,16.6,0.0
87,4.2,7.5,3.1
88,4.2,12.2,1.5
89,4.3,7.4,3.3
90,4.3,2.6,4.8
91,4.4,17.5,0.0
92,4.4,13.2,1.5
93,4.4,3.2,4.8
94,4.4,7.5,3.4
95,4.5,4.4,4.5
96,4.5,17.8,0.0
97,4.5,18.0,0.0
98,4.5,13.4,1.5
99,4.6,1.0,5.8
100,4.6,18.2,0.0
101,4.6,9.0,3.1
102,4.6,7.5,3.6
103,4.7,7.5,3.8
104,4.7,6.2,4.2
105,4.7,18.7,0.0
106,4.7,0.0,6.3
107,4.7,7.5,3.7
108,4.7,18.8,0.0
109,4.7,18.6,0.0
110,4.8,19.1,0.0
111,4.8,14.6,1.5
112,4.8,19.2,0.0
113,4.8,19.0,0.0
114,4.8,19.3,0.0
115,4.8,1.2,6.0
116,4.8,13.3,2.0
117,4.8,8.0,3.7
118,4.9,5.0,4.8
119,4.9,15.0,1.5
120,4.9,19.5,0.0
121,4.9,4.4,5.1
122,4.9,19.7,0.0
123,5.0,19.8,0.0
124,5.0,9.0,3.6
125,5.0,10.5,3.1
126,5.0,7.5,4.1
127,5.0,10.6,3.1
128,5.0,8.8,3.7
129,5.0,2.0,6.0
130,5.1,8.8,3.8
131,5.1,7.5,4.3
132,5.1,6.0,4.8
133,5.1,6.8,4.5
134,5.1,15.0,1.8
135,5.1,9.1,3.7
136,5.2,11.6,3.0
137,5.2,3.4,5.8
138,5.2,14.8,2.0
139,5.2,20.7,0.0
140,5.2,17.8,1.0
141,5.2,6.4,4.8
142,5.2,20.8,0.0
143,5.3,0.0,7.1
144,5.3,21.2,0.0
145,5.3,4.8,5.4
146,5.3,13.7,2.5
147,5.3,7.5,4.5
148,5.3,17.4,1.2
149,5.3,21.1,0.0
150,5.3,6.8,4.8
151,5.3,21.0,0.0
152,5.3,15.2,2.0
153,5.3,13.6,2.5
154,5.4,20.5,0.3
155,5.4,20.2,0.5
156,5.4,14.8,2.3
157,5.4,6.0,5.2
158,5.4,21.4,0.0
159,5.4,15.6,2.0
160,5.4,19.0,0.8
161,5.4,17.1,1.5
162,5.4,18.0,1.2
163,5.4,21.6,0.0
164,5.4,18.7,1.0
165,5.5,7.5,4.8
166,5.5,0.0,7.3
167,5.5,10.7,3.7
168,5.5,22.0,0.0
169,5.5,5.8,5.4
170,5.5,17.4,1.5
171,5.5,18.3,1.2
172,5.5,8.4,4.5
173,5.6,22.5,0.0
174,5.6,11.4,3.7
175,5.6,0.0,7.4
176,5.6,22.2,0.0
177,5.6,19.2,1.0
178,5.6,7.2,5.0
179,5.6,16.4,2.0
180,5.6,7.5,5.0
181,5.6,9.9,4.1
182,5.6,16.5,2.0
183,5.7,8.5,4.8
184,5.7,20.4,0.8
185,5.7,8.2,4.8
186,5.7,22.8,0.0
187,5.7,19.8,1.0
188,5.7,18.2,1.5
189,5.7,22.7,0.0
190,5.8,17.2,2.0
191,5.8,14.0,3.0
192,5.8,23.3,0.0
193,5.8,23.2,0.0
194,5.8,13.7,3.1
195,5.8,17.7,1.8
196,5.8,23.0,0.0
197,5.8,23.1,0.0
198,5.8,17.0,2.0
199,5.8,11.9,3.8
200,5.8,16.2,2.3
201,5.9,16.0,2.5
202,5.9,7.5,5.4
203,5.9,0.0,7.8
204,5.9,17.6,2.0
205,5.9,8.1,5.2
206,5.9,23.4,0.0
207,5.9,10.1,4.5
208,5.9,12.0,3.9
209,5.9,0.0,7.9
210,5.9,9.2,4.8
211,6.0,12.6,3.8
212,6.0,20.2,1.2
213,6.0,23.9,0.0
214,6.0,9.7,4.8
215,6.0,7.5,5.5
216,6.0,20.8,1.0
217,6.0,22.3,0.5
218,6.0,9.4,4.8
219,6.1,6.4,6.0
220,6.1,0.0,8.1
221,6.1,15.0,3.1
222,6.1,18.5,2.0
223,6.1,24.4,0.0
224,6.1,17.4,2.3
225,6.1,24.3,0.0
226,6.1,24.2,0.0
227,6.1,21.3,1.0
228,6.2,20.2,1.5
229,6.2,24.7,0.0
230,6.2,24.6,0.0
231,6.2,10.2,4.8
232,6.2,8.4,5.4
233,6.2,14.8,3.3
234,6.2,0.0,8.3
235,6.2,7.5,5.8
236,6.2,24.8,0.0
237,6.3,10.6,4.8
238,6.3,20.5,1.5
239,6.3,15.7,3.1
240,6.3,17.1,2.7
241,6.3,15.1,3.3
242,6.3,25.0,0.0
243,6.3,16.1,3.0
244,6.3,5.2,6.6
245,6.3,22.0,1.0
246,6.4,0.0,8.5
247,6.4,15.0,3.5
248,6.4,11.2,4.8
249,6.4,25.5,0.0
250,6.4,22.0,1.2
251,6.4,24.0,0.5
252,6.4,7.5,6.0
253,6.4,25.6,0.0
254,6.4,11.3,4.7
255,6.5,15.0,3.7
256,6.5,16.8,3.0
257,6.5,15.0,3.6
258,6.5,10.2,5.3
259,6.5,12.5,4.5
260,6.5,9.6,5.4
261,6.5,18.5,2.5
262,6.6,15.0,3.8
263,6.6,19.4,2.3
264,6.6,7.5,6.3
265,6.6,6.6,6.6
266,6.6,18.7,2.5
267,6.7,0.0,8.9
268,6.7,13.1,4.5
269,6.7,23.8,1.0
270,6.7,26.7,0.0
271,6.7,17.7,3.0
272,6.7,19.1,2.5
273,6.7,13.3,4.5
274,6.7,7.4,6.5
275,6.7,17.3,3.1
276,6.7,14.2,4.2
277,6.7,26.8,0.0
278,6.7,5.0,7.3
279,6.8,19.8,2.5
280,6.8,0.0,9.1
281,6.8,22.5,1.5
282,6.8,0.6,8.9
283,6.8,7.5,6.5
284,6.8,27.0,0.0
285,6.8,15.3,4.0
286,6.8,24.3,1.0
287,6.8,22.7,1.5
288,6.8,12.7,4.8
289,6.9,15.0,4.2
290,6.9,9.5,6.0
291,6.9,20.1,2.5
292,6.9,24.5,1.0
293,6.9,1.0,8.9
294,6.9,21.7,2.0
295,6.9,13.1,4.8
296,6.9,10.9,5.5
297,6.9,26.5,0.3
298,7.0,1.2,8.9
299,7.0,13.5,4.8
300,7.0,13.7,4.8
301,7.0,11.7,5.4
302,7.0,15.0,4.3
303,7.0,7.5,6.8
304,7.0,9.2,6.3
305,7.0,27.9,0.0
306,7.0,8.6,6.4
307,7.0,18.8,3.0
308,7.0,20.4,2.5
309,7.0,27.8,0.0
310,7.0,23.6,1.5
311,7.0,28.0,0.0
312,7.0,11.6,5.5
313,7.1,15.0,4.5
314,7.1,1.6,8.9
315,7.1,0.0,9.4
316,7.1,21.5,2.3
317,7.1,14.9,4.5
318,7.1,7.5,7.0
319,7.1,5.8,7.5
320,7.1,22.5,2.0
321,7.1,28.4,0.0
322,7.1,28.2,0.0
323,7.1,10.8,5.8
324,7.1,14.0,4.8
325,7.1,13.3,5.0
326,7.1,19.0,3.1
327,7.1,23.9,1.5
328,7.1,28.3,0.0
329,7.2,14.3,4.8
330,7.2,11.0,5.9
331,7.2,16.0,4.2
332,7.2,24.2,1.5
333,7.2,9.8,6.3
334,7.2,9.7,6.3
335,7.2,7.5,7.1
336,7.2,4.4,8.1
337,7.2,21.4,2.5
338,7.3,29.0,0.0
339,7.3,12.6,5.5
340,7.3,1.0,9.4
341,7.3,17.0,4.0
342,7.3,13.2,5.3
343,7.3,12.8,5.4
344,7.3,29.1,0.0
345,7.3,11.6,5.8
346,7.3,10.3,6.3
347,7.3,13.0,5.4
348,7.4,1.4,9.4
349,7.4,21.9,2.5
350,7.4,15.0,4.8
351,7.4,7.5,7.3
352,7.4,13.4,5.4
353,7.4,12.0,5.8
354,7.4,16.5,4.3
355,7.4,26.7,1.0
