id_oferta,id_curso,id_municipio,modalidade_graduacao,turno_graduacao,categoria_administrativa
1,2,5103403,Presencial,Noturno,Pública Federal
2,2,5103403,Presencial,Matutino,Pública Federal
3,2,5103403,Presencial,Integral,Pública Federal
4,2,5103403,Presencial,Vespertino,Pública Federal
5,13,5103403,Presencial,Noturno,Pública Federal
6,13,5103403,Presencial,Matutino,Pública Federal
7,13,5103403,Presencial,Integral,Pública Federal
8,13,5103403,Presencial,Vespertino,Pública Federal
9,38,5103403,Presencial,Noturno,Pública Federal
10,38,5103403,Presencial,Vespertino,Pública Federal
11,38,5103403,Presencial,Integral,Pública Federal
12,38,5103403,Presencial,Matutino,Pública Federal
13,22,5103403,Presencial,Integral,Pública Federal
14,22,5103403,Presencial,Matutino,Pública Federal
15,22,5103403,Presencial,Noturno,Pública Federal
16,22,5103403,Presencial,Vespertino,Pública Federal
17,1,5103403,Presencial,Noturno,Pública Federal
18,1,5103403,Presencial,Integral,Pública Federal
19,1,5103403,Presencial,Matutino,Pública Federal
20,1,5103403,Presencial,Vespertino,Pública Federal
21,22,5107602,Presencial,Integral,Pública Federal
22,22,5107602,Presencial,Vespertino,Pública Federal
23,22,5107602,Presencial,Noturno,Pública Federal
24,22,5107602,Presencial,Matutino,Pública Federal
25,13,5300108,Presencial,Noturno,Pública Federal
26,13,5300108,Presencial,Matutino,Pública Federal
27,13,5300108,Presencial,Vespertino,Pública Federal
28,13,5300108,Presencial,Integral,Pública Federal
29,38,5300108,Presencial,Vespertino,Pública Federal
30,38,5300108,Presencial,Noturno,Pública Federal
31,38,5300108,Presencial,Matutino,Pública Federal
32,38,5300108,Presencial,Integral,Pública Federal
33,81,5300108,Presencial,Integral,Pública Federal
34,81,5300108,Presencial,Noturno,Pública Federal
35,81,5300108,Presencial,Matutino,Pública Federal
36,81,5300108,Presencial,Vespertino,Pública Federal
37,1,5300108,Presencial,Noturno,Pública Federal
38,1,5300108,Presencial,Integral,Pública Federal
39,1,5300108,Presencial,Matutino,Pública Federal
40,1,5300108,Presencial,Vespertino,Pública Federal
41,2,5300108,Presencial,Integral,Pública Federal
42,2,5300108,Presencial,Noturno,Pública Federal
43,2,5300108,Presencial,Matutino,Pública Federal
44,2,5300108,Presencial,Vespertino,Pública Federal
45,22,5300108,Presencial,Noturno,Pública Federal
46,22,5300108,Presencial,Integral,Pública Federal
47,22,5300108,Presencial,Matutino,Pública Federal
48,22,5300108,Presencial,Vespertino,Pública Federal
49,22,2806701,Presencial,Integral,Pública Federal
50,22,2806701,Presencial,Noturno,Pública Federal
51,22,2806701,Presencial,Matutino,Pública Federal
52,22,2806701,Presencial,Vespertino,Pública Federal
53,2,2806701,Presencial,Matutino,Pública Federal
54,2,2806701,Presencial,Integral,Pública Federal
55,2,2806701,Presencial,Noturno,Pública Federal
56,2,2806701,Presencial,Vespertino,Pública Federal
57,2,1302603,Presencial,Noturno,Pública Federal
58,2,1302603,Presencial,Matutino,Pública Federal
59,2,1302603,Presencial,Integral,Pública Federal
60,2,1302603,Presencial,Vespertino,Pública Federal
61,38,1302603,Presencial,Matutino,Pública Federal
62,38,1302603,Presencial,Noturno,Pública Federal
63,38,1302603,Presencial,Integral,Pública Federal
64,38,1302603,Presencial,Vespertino,Pública Federal
65,13,1302603,Presencial,Vespertino,Pública Federal
66,13,1302603,Presencial,Matutino,Pública Federal
67,13,1302603,Presencial,Noturno,Pública Federal
68,13,1302603,Presencial,Integral,Pública Federal
69,22,1302603,Presencial,Noturno,Pública Federal
70,22,1302603,Presencial,Integral,Pública Federal
71,22,1302603,Presencial,Vespertino,Pública Federal
72,22,1302603,Presencial,Matutino,Pública Federal
73,1,1302603,Presencial,Noturno,Pública Federal
74,1,1302603,Presencial,Integral,Pública Federal
75,1,1302603,Presencial,Vespertino,Pública Federal
76,1,1302603,Presencial,Matutino,Pública Federal
77,803,1302603,Presencial,Noturno,Pública Federal
78,803,1302603,Presencial,Matutino,Pública Federal
79,803,1302603,Presencial,Integral,Pública Federal
80,803,1302603,Presencial,Vespertino,Pública Federal
81,22,2211001,Presencial,Noturno,Pública Federal
82,22,2211001,Presencial,Matutino,Pública Federal
83,22,2211001,Presencial,Integral,Pública Federal
84,22,2211001,Presencial,Vespertino,Pública Federal
85,2,2211001,Presencial,Noturno,Pública Federal
86,2,2211001,Presencial,Matutino,Pública Federal
87,2,2211001,Presencial,Integral,Pública Federal
88,2,2211001,Presencial,Vespertino,Pública Federal
89,13,2211001,Presencial,Noturno,Pública Federal
90,13,2211001,Presencial,Matutino,Pública Federal
91,13,2211001,Presencial,Integral,Pública Federal
92,13,2211001,Presencial,Vespertino,Pública Federal
93,38,2211001,Presencial,Integral,Pública Federal
94,38,2211001,Presencial,Noturno,Pública Federal
95,38,2211001,Presencial,Matutino,Pública Federal
96,38,2211001,Presencial,Vespertino,Pública Federal
97,1,2207702,Presencial,Noturno,Pública Federal
98,1,2207702,Presencial,Integral,Pública Federal
99,1,2207702,Presencial,Matutino,Pública Federal
100,1,2207702,Presencial,Vespertino,Pública Federal
101,22,2207702,Presencial,Integral,Pública Federal
102,22,2207702,Presencial,Noturno,Pública Federal
103,22,2207702,Presencial,Matutino,Pública Federal
104,22,2207702,Presencial,Vespertino,Pública Federal
105,13,2207702,Presencial,Noturno,Pública Federal
106,13,2207702,Presencial,Matutino,Pública Federal
107,13,2207702,Presencial,Integral,Pública Federal
108,2,3146107,Presencial,Matutino,Pública Federal
109,2,3146107,Presencial,Noturno,Pública Federal
110,2,3146107,Presencial,Integral,Pública Federal
111,2,3146107,Presencial,Vespertino,Pública Federal
112,1,3171303,Presencial,Noturno,Pública Federal
