id_perfil_estudante,sexo,idade,cor_raca,ano_fim_ensino_medio,ano_ingresso_graduacao,tipo_escola_ensino_medio,primeira_geracao,escolaridade_pai,escolaridade_mae,motivacao_curso,renda_familiar,horas_trabalho,cotas
1,F,-1,Branca,-1,2014,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
2,F,-1,Branca,-1,2013,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
3,F,-1,Branca,-1,2015,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
4,F,17,Branca,-1,2015,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
5,F,18,Branca,-1,2015,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
6,F,18,Branca,-1,2016,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
7,F,18,Branca,-1,2014,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
8,F,18,Branca,-1,2000,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
9,F,18,Branca,-1,2008,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
10,F,18,Branca,-1,2013,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
11,F,18,Branca,-1,2012,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
12,F,18,Branca,-1,2017,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
13,F,19,Branca,1939,2012,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
14,F,19,Branca,1944,2015,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
15,F,19,Branca,1944,2012,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
16,F,19,Branca,1945,2004,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
17,F,19,Branca,1950,2012,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
18,F,19,Branca,1952,2014,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
19,F,19,Branca,1954,2016,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
20,F,19,Branca,1956,2012,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
21,F,19,Branca,1957,2017,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
22,F,19,Branca,1958,2007,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
23,F,19,Branca,1959,2015,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
24,F,19,Branca,1959,2016,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
25,F,19,Branca,1959,2014,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
26,F,19,Branca,1959,2012,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
27,F,19,Branca,1960,2018,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
28,F,19,Branca,1960,2017,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
29,F,19,Branca,1960,2010,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
30,F,19,Branca,1960,2015,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
31,F,19,Branca,1961,2014,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
32,F,19,Branca,1961,2009,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
33,F,19,Branca,1961,2011,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
34,F,19,Branca,1962,2011,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
35,F,19,Branca,1962,2016,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
36,F,19,Branca,1962,2014,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
37,F,19,Branca,1962,2015,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
38,F,19,Branca,1963,2014,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
39,F,19,Branca,1963,2013,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
40,F,19,Branca,1963,2009,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
41,F,19,Branca,1963,2015,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
42,F,19,Branca,1964,2014,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
43,F,19,Branca,1964,2013,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
44,F,19,Branca,1964,2011,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
45,F,19,Branca,1964,2009,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
46,F,19,Branca,1965,2014,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
47,F,19,Branca,1965,2015,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
48,F,19,Branca,1966,2011,Todo em escola pública,Sim,Nenhuma,Nenhuma,Inserção no mercado de trabalho,"Até 1,5 salário mínimo",Não estou trabalhando,Não
