curso,qtd_alunos,media_nota_geral
Tecnologia Em Logística,3398,48.8
Tecnologia Em Processos Gerenciais,4069,48.47
Tecnologia Em Gestão Comercial,1563,48.33
Tecnologia Em Gestão Financeira,2196,48.16
Tecnologia Em Gestão De Recursos Humanos,6998,47.74
Tecnologia Em Gestão Pública,1309,47.72
Geografia (Bacharelado),1626,47.7
Tecnologia Em Marketing,2748,47.62
Tecnologia Em Estética E Cosmética,1430,47.49
Tecnologia Em Gastronomia,1994,47.11
Tecnologia Em Radiologia,1241,46.11
História (Bacharelado),1300,45.89
Filosofia (Bacharelado),1107,45.81
Educação Física (Bacharelado),20210,45.26
Engenharia Ambiental,3899,45.04
Tecnologia Em Comércio Exterior,1050,44.44
Ciências Biológicas (Bacharelado),4250,43.47
Teologia,2225,43.46
Engenharia De Produção,11796,43.26
Engenharia De Controle E Automação,2490,43.24
