uf,regiao,qtd_alunos,media_nota
AC,Norte,2332,41.47
AL,Nordeste,8517,39.0
AM,Norte,13029,37.51
AP,Norte,2717,39.89
BA,Nordeste,29357,38.61
CE,Nordeste,21133,35.64
DF,Centro-Oeste,16805,33.94
ES,Sudeste,11565,37.97
GO,Centro-Oeste,21915,36.41
MA,Nordeste,12204,38.84
MG,Sudeste,95193,36.8
MS,Centro-Oeste,19262,36.33
MT,Centro-Oeste,9845,36.08
PA,Norte,12424,35.54
PB,Nordeste,13341,36.49
PE,Nordeste,24801,36.04
PI,Nordeste,11255,37.92
PR,Sul,72485,40.65
RJ,Sudeste,75046,35.08
RN,Nordeste,9773,36.35
RO,Norte,4544,38.4
RR,Norte,1895,39.5
RS,Sul,39497,33.72
SC,Sul,34696,37.68
SE,Nordeste,7600,38.83
SP,Sudeste,197035,37.11
TO,Norte,4800,40.3
