curso,categoria,qtd,media_nota
Administração,Privada com fins lucrativos,88483,37.6
Administração Pública,Privada com fins lucrativos,362,33.61
Agronomia,Privada sem fins lucrativos,6723,36.3
Arquitetura E Urbanismo,Privada com fins lucrativos,14108,34.92
Artes Visuais (Licenciatura),Pública Estadual,1251,37.48
Biomedicina,Especial,4925,43.16
Ciência Da Computação (Bacharelado),Privada com fins lucrativos,6192,26.66
Ciência Da Computação (Licenciatura),Privada com fins lucrativos,466,38.21
Ciências Biológicas (Bacharelado),Privada com fins lucrativos,4250,43.47
Ciências Biológicas (Licenciatura),Pública Municipal,8401,32.45
Ciências Contábeis,Pública Municipal,43419,36.54
Ciências Econômicas,Privada com fins lucrativos,7886,27.1
Ciências Sociais (Bacharelado),Privada sem fins lucrativos,1767,40.66
Ciências Sociais (Licenciatura),Pública Federal,1254,29.95
Design,Pública Municipal,6776,37.68
Direito,Privada com fins lucrativos,134272,34.75
Educação Física (Bacharelado),Privada com fins lucrativos,20210,45.26
Educação Física (Licenciatura),Privada com fins lucrativos,8691,30.84
Enfermagem,,22198,40.33
Engenharia Ambiental,Privada sem fins lucrativos,3899,45.04
Engenharia Civil,,18640,37.96
Engenharia Da Computação,Pública Estadual,2114,39.41
Engenharia De Alimentos,Privada com fins lucrativos,858,37.19
Engenharia De Controle E Automação,Privada com fins lucrativos,2490,43.24
Engenharia De Produção,,11796,43.26
Engenharia Elétrica,,7819,38.01
Engenharia Florestal,Pública Municipal,989,36.32
Engenharia Mecânica,Privada sem fins lucrativos,8552,38.28
Engenharia Química,Privada sem fins lucrativos,3287,35.43
Farmácia,Privada sem fins lucrativos,9098,39.74
Filosofia (Bacharelado),Privada com fins lucrativos,1107,45.81
Filosofia (Licenciatura),Pública Municipal,1757,30.17
Fisioterapia,,13026,38.16
Fonoaudiologia,Privada com fins lucrativos,1452,36.03
Física (Licenciatura),Pública Municipal,1844,34.4
Geografia (Bacharelado),Privada com fins lucrativos,1626,47.7
Geografia (Licenciatura),Pública Municipal,4576,29.38
História (Bacharelado),Privada sem fins lucrativos,1300,45.89
História (Licenciatura),Pública Municipal,7542,29.53
Jornalismo,Privada sem fins lucrativos,9588,37.51
Letras-Inglês (Licenciatura),Privada sem fins lucrativos,1608,31.27
Letras-Português (Licenciatura),Pública Municipal,6063,32.59
Letras-Português E Espanhol (Licenciatura),Privada com fins lucrativos,697,40.12
Letras-Português E Inglês (Licenciatura),Pública Estadual,3482,31.99
Matemática (Licenciatura),Pública Federal,6257,34.09
Medicina,Especial,10561,33.06
Medicina Veterinária,Privada com fins lucrativos,7027,34.46
Música (Licenciatura),Privada com fins lucrativos,1289,32.96
Nutrição,Privada sem fins lucrativos,11055,40.26
Odontologia,Especial,9576,33.79
Pedagogia (Licenciatura),Privada com fins lucrativos,105180,35.49
Psicologia,Especial,28495,36.95
Publicidade E Propaganda,Privada sem fins lucrativos,15068,37.22
Química (Bacharelado),Privada com fins lucrativos,1279,40.83
Química (Licenciatura),Pública Municipal,3178,36.06
Relações Internacionais,Privada sem fins lucrativos,2757,37.69
Secretariado Executivo,Privada sem fins lucrativos,1002,34.53
Serviço Social,Privada sem fins lucrativos,12518,41.75
Sistemas De Informação,Pública Estadual,5417,32.73
Tecnologia Em Agronegócios,Pública Federal,680,47.39
Tecnologia Em Análise E Desenvolvimento De Sistemas,Privada sem fins lucrativos,5153,39.88
Tecnologia Em Comércio Exterior,Pública Municipal,1050,44.44
Tecnologia Em Design De Interiores,Privada sem fins lucrativos,774,45.59
Tecnologia Em Design De Moda,Privada sem fins lucrativos,430,48.31
Tecnologia Em Design Gráfico,Pública Municipal,938,45.51
Tecnologia Em Estética E Cosmética,,1430,47.49
Tecnologia Em Gastronomia,Privada sem fins lucrativos,1994,47.11
Tecnologia Em Gestão Ambiental,Privada sem fins lucrativos,889,46.19
Tecnologia Em Gestão Comercial,Privada sem fins lucrativos,1563,48.33
Tecnologia Em Gestão Da Qualidade,Pública Estadual,241,47.28
Tecnologia Em Gestão Da Tecnologia Da Informação,Pública Estadual,700,37.38
Tecnologia Em Gestão De Recursos Humanos,Pública Estadual,6998,47.74
Tecnologia Em Gestão Financeira,Pública Municipal,2196,48.16
Tecnologia Em Gestão Hospitalar,Privada sem fins lucrativos,175,50.8
Tecnologia Em Gestão Pública,Pública Federal,1309,47.72
Tecnologia Em Logística,Pública Municipal,3398,48.8
Tecnologia Em Marketing,Especial,2748,47.62
Tecnologia Em Processos Gerenciais,Privada sem fins lucrativos,4069,48.47
Tecnologia Em Radiologia,Privada com fins lucrativos,1241,46.11
Tecnologia Em Redes De Computadores,Privada com fins lucrativos,816,37.44
Tecnologia Em Segurança No Trabalho,Pública Estadual,191,49.99
Teologia,Privada com fins lucrativos,2225,43.46
Turismo,Pública Federal,2838,36.56
Zootecnia,Privada com fins lucrativos,1517,38.76
