municipio,uf,media_nota_municipio,media_nota_uf,delta
MANAUS,AM,,,-0.8
BARREIRAS,BA,,,-4.69
ILHEUS,BA,,,-4.69
SALVADOR,BA,,,-2.09
FORTALEZA,CE,,,-1.03
BRASILIA,DF,,,0.0
ANAPOLIS,GO,,,-0.38
ALFENAS,MG,,,-10.78
CAMPO BELO,MG,,,-15.22
DIVINOPOLIS,MG,,,-1.18
OURO PRETO,MG,,,-1.7
TRES CORACOES,MG,,,-5.5
UBERLANDIA,MG,,,-2.54
VICOSA,MG,,,-3.87
CUIABA,MT,,,-7.49
RONDONOPOLIS,MT,,,-0.99
RECIFE,PE,,,-4.64
PARNAIBA,PI,,,-0.87
TERESINA,PI,,,-2.79
CIANORTE,PR,,,0.57
CURITIBA,PR,,,-1.36
LONDRINA,PR,,,8.9
MARINGA,PR,,,1.76
PARANAVAI,PR,,,-13.6
PETROPOLIS,RJ,,,-5.12
MOSSORO,RN,,,3.43
BENTO GONCALVES,RS,,,-1.8
CARAZINHO,RS,,,-0.72
CASCA,RS,,,-14.67
CAXIAS DO SUL,RS,,,-2.82
NOVO HAMBURGO,RS,,,-3.11
PASSO FUNDO,RS,,,-3.11
PELOTAS,RS,,,-2.09
PORTO ALEGRE,RS,,,-3.07
RIO GRANDE,RS,,,-1.59
SAO LEOPOLDO,RS,,,-5.61
VACARIA,RS,,,-8.57
BLUMENAU,SC,,,-1.99
FLORIANOPOLIS,SC,,,-1.66
JOACABA,SC,,,-8.97
JOINVILLE,SC,,,1.4
RIO DO SUL,SC,,,0.22
SAO CRISTOVAO,SE,,,-9.75
ARARAQUARA,SP,,,-6.4
BARRETOS,SP,,,5.12
BAURU,SP,,,-6.06
CAMPINAS,SP,,,-4.98
FRANCA,SP,,,-1.4
SAO BERNARDO DO CAMPO,SP,,,-2.23
SAO PAULO,SP,,,1.68
